"","period","age_grp","race","gender","count","pop","main.vs.sa"
"390",8,14,"White","Female",3233,1637033,"main"
"391",9,10,"White","Female",1837,3996936,"main"
"392",9,11,"White","Female",1911,3589664,"main"
"393",9,12,"White","Female",2069,3020293,"main"
"394",9,13,"White","Female",2389,2193252,"main"
"395",9,14,"White","Female",2711,1673743,"main"
"396",10,10,"White","Female",1981,3933952,"main"
"397",10,11,"White","Female",1904,3892695,"main"
"398",10,12,"White","Female",2211,3440020,"main"
"399",10,13,"White","Female",2571,2846560,"main"
"400",10,14,"White","Female",2517,2025590,"main"
"401",3,10,"Black","Male",142,208115,"main"
"402",3,11,"Black","Male",235,193334,"main"
"403",3,12,"Black","Male",266,152799,"main"
"404",3,13,"Black","Male",249,121990,"main"
"405",3,14,"Black","Male",275,78605,"main"
"406",4,10,"Black","Male",134,204832,"main"
"407",4,11,"Black","Male",231,195031,"main"
"408",4,12,"Black","Male",342,162962,"main"
"409",4,13,"Black","Male",347,134861,"main"
"410",4,14,"Black","Male",307,90918,"main"
"411",5,10,"Black","Male",164,216004,"main"
"412",5,11,"Black","Male",236,187688,"main"
"413",5,12,"Black","Male",330,170215,"main"
"414",5,13,"Black","Male",422,146671,"main"
"415",5,14,"Black","Male",372,101131,"main"
"416",6,10,"Black","Male",201,268198,"main"
"417",6,11,"Black","Male",235,200271,"main"
"418",6,12,"Black","Male",332,174204,"main"
"419",6,13,"Black","Male",418,151513,"main"
"420",6,14,"Black","Male",412,110526,"main"
"421",7,10,"Black","Male",294,370341,"main"
"422",7,11,"Black","Male",305,252941,"main"
"423",7,12,"Black","Male",395,186317,"main"
"424",7,13,"Black","Male",382,150158,"main"
"425",7,14,"Black","Male",398,115399,"main"
"426",8,10,"Black","Male",366,462536,"main"
"427",8,11,"Black","Male",437,347894,"main"
"428",8,12,"Black","Male",416,231020,"main"
"429",8,13,"Black","Male",388,162724,"main"
"430",8,14,"Black","Male",389,123143,"main"
"431",9,10,"Black","Male",487,550284,"main"
"432",9,11,"Black","Male",527,439247,"main"
"433",9,12,"Black","Male",529,318837,"main"
